original,replacement
d.ln.tau.capint.con ,$\ln(1+\tau_{K}/100)\times\ln(1+\tau_{C}/100)$
ln.capital.stock.p.c.dif ,$\ln($Per capita K stock)
d.ln.tau.capint.con:income.class.earlydeveloping ,$\ln(1+\tau_{K}/100)\times\ln(1+\tau_{C}/100)\times$ Dev cntry
ln.capital.stock.p.c.dif:income.class.earlydeveloping ,$\ln($Per capita K stock)$\times$ Developing country
d.ln.tau.capint:income.class.earlydeveloping ,$\ln(1+\tau_{K}/100)\times$ Developing country
d.ln.tau.con:income.class.earlydeveloping ,$\ln(1+\tau_{C}/100)\times$ Developing country
d.ln.tau.con,$\ln(1+\tau_{C}/100)$
d.ln.tau.capint,$\ln(1+\tau_{K}/100)$
income.class.earlydeveloping ,Developing country
gatt75.later:total.tau.1985.early,$AverageTariffs_{1985} \times GATT membership_{1975}$
ln.wage.NP.over.wage.P.dif,$\ln(w_{H}/w_{L})$
double.delta.capital.stock,$\%\Delta$ of per capita K
